materialAliases;materialGroup;materialSubGroup;materialTypeNumber;name;productionMethod;surfaceDescription;surfaceNorm
"[""AlMg3"",""AW5754""]";Aluminium;EN AW-5754;33.535;AlMg3;gewalzt H111;einseitig foliert;1sF
"[""eloxiert"",""AW5005A""]";Aluminium;EN AW-5005A;33.315;AlMg1;gewalzt H14/24;eloxiert einseitig foliert;elo1sF
"[""AlMg3"",""AW5754"",""Warzenblech"",""Quintettblech"",""Riffelblech""]";Aluminium;EN AW-5754;33.535;AlMg3;gewalzt H114;Riffelblech, Duettblech walzblank;1MRD
"[""AlMg3"",""AW5754"",""Warzenblech"",""Quintettblech"",""Riffelblech""]";Aluminium;EN AW-5754;33.535;AlMg3;gewalzt H114;Riffelblech, Quintettblech walzblank;1MRQ
[];Aluminium;EN AW-1050A;30.255;Al99,5;gewalzt H14/24;Stucco-Dessin;Stucco
[];Aluminium;EN AW-1050A;30.255;Al99,5;gewalzt H14/24;walzblank;wb
"[""EN AW-2017A"",""AW2017A""]";Aluminium;EN AW-2017A;31.325;AlCu4MgSi(A);T451;walzblank;wb
[];Aluminium;EN AW-6082;32.315;AlSi1MgMn;T6;walzblank;wb
"[""AW5005A""]";Aluminium;EN AW-5005A;33.315;AlMg1;gewalzt H14/24;walzblank;wb
"[""AlMg3"",""AW5754""]";Aluminium;EN AW-5754;33.535;AlMg3;gewalzt H111;walzblank;wb
"[""AlMg3"",""AW5754""]";Aluminium;EN AW-5754;33.535;AlMg3;gewalzt H22;walzblank;wb
"[""AlMg4"",""AW5083""]";Aluminium;EN AW-5083;33.547;AlMg4,5Mn0,7;gewalzt H111;walzblank;wb
"[""AW5083"",""AlMg4""]";Aluminium;EN AW-5083;33.547;AlMg4,5Mn0,7;gewalzt H22;walzblank;wb
[];Aluminium;EN AW-7075;34.365;AlZnMgCu1,5;T6;walzblank;wb
[];Aluminium;EN AW-7075;34.365;AlZnMgCu1,5;T651;walzblank;wb
"[""Zincor ZE 25/25"",""St 12 ZE""]";Baustahl;Unlegierter Qualitätsstahl;10.330;DC01 + ZE;kaltgewalzt;elektrolytisch verzinkt 25/25;EVZ25-25
"[""ST 02 Z"",""DX51 Z275"",""Sendzimierverzinkt""]";Baustahl;Feuerverzinkter Stahl;10.226;DX51D+Z;gewalzt;feuerverzinkt;FVZ
"[""RSt37-2""]";Baustahl;Baustahl;10.038;S235JR;warmgewalzt;gebeizt und geölt;1Dg
"[""St12"",""FeP01"",""ST 1203"",""S235""]";Baustahl;Unlegierter Qualitätsstahl;10.330;DC01;kaltgewalzt;gebeizt und geölt;2Dg
"[""StW22""]";Baustahl;weicher, nichtlegierter Stahl;10.332;DD11;warmgewalzt;gebeizt und geölt;1Dg
"[""StW 23"",""RRStW23""]";Baustahl;weicher, nichtlegierter Stahl;10.398;DD12;warmgewalzt;gebeizt und geölt;1Dg
"[""ST 52-3 N""]";Baustahl;Hochfester Feinkornbaustahl;10.577;S355J2 +N;warmgewalzt;gebeizt und geölt;1Dg
"[""QstE360TM""]";Baustahl;Microlegierter Stahl;10.976;S355MC;warmgewalzt;gebeizt und geölt;1Dg
"[""QstE420TM""]";Baustahl;Feinkörniger Konstruktionsstahl;10.980;S420MC;warmgewalzt;gebeizt und geölt;1Dg
[];Baustahl;Hochfester Feinkornbaustahl;10.984;S500MC;warmgewalzt;gebeizt und geölt;1Dg
"[""QstE690TM""]";Baustahl;Hochfester Feinkornbaustahl;18.974;S700MC;warmgewalzt;gebeizt und geölt;1Dg
"[""RSt37-2""]";Baustahl;Baustahl;10.038;S235JR;warmgewalzt;gestrahlt;1E
"[""ST 52-3 N""]";Baustahl;Hochfester Feinkornbaustahl;10.577;S355J2 +N;warmgewalzt;gestrahlt;1E
"[""RSt37-2""]";Baustahl;Baustahl;10.038;S235JR;warmgewalzt;schwarz / walzblau;1C
"[""St45.8""]";Baustahl;Warmfester Druckbehälterstahl;10.425;P265GH;warmgewalzt;schwarz / walzblau;1C
"[""AISI 1045""]";Baustahl;Unlegierter Vergütungsstahl;10.503;C45;warmgewalzt;schwarz / walzblau;1C
"[""ST 52-3 N""]";Baustahl;Hochfester Feinkornbaustahl;10.577;S355J2 +N;warmgewalzt;schwarz / walzblau;1C
"[""QstE360TM""]";Baustahl;Microlegierter Stahl;10.976;S355MC;warmgewalzt;schwarz / walzblau;1C
"[""QstE420TM""]";Baustahl;Feinkörniger Konstruktionsstahl;10.980;S420MC;warmgewalzt;schwarz / walzblau;1C
"[""XAR"",""Dillidur"",""Hardox"",""20 MnCr6-5"",""Quard"",""HB300"",""RAEX""]";Baustahl;Verschleißfester Stahl;18.704;HB300;warmgewalzt;schwarz / walzblau;1C
"[""Dillidur"",""Durostat"",""Fora"",""RAEX"",""Brinar"",""Abrazo"",""23MnCr4-3"",""Quard"",""Hardox"",""XAR"",""HB400""]";Baustahl;Verschleißfester Stahl;18.714;HB400;warmgewalzt;schwarz / walzblau;1C
"[""HB450"",""Abrazo"",""Quard"",""Hardox"",""XAR"",""Dillidur"",""Durostat"",""Fora""]";Baustahl;Verschleißfester Stahl;18.722;HB450;warmgewalzt;schwarz / walzblau;1C
"[""Quard"",""Abrazo"",""HB500"",""Fora"",""Dillidur"",""28MnCr4-3"",""RAEX"",""XAR"",""Brinar"",""Hardox"",""Durostat""]";Baustahl;Verschleißfester Stahl;18.734;HB500;warmgewalzt;schwarz / walzblau;1C
"[""QstE690TM""]";Baustahl;Hochfester Feinkornbaustahl;18.974;S700MC;warmgewalzt;schwarz / walzblau;1C
"[""RSt37-2""]";Baustahl;Baustahl;10.038;S235JR;warmgewalzt;Tränenblech;1MT
"[""Ust14"",""St13""]";Baustahl;Kaltgewalzter Tiefziehstahl;10.347;DC03;kaltgewalzt;walzblank;wb
"[""RRStW23"",""StW23""]";Baustahl;weicher, nichtlegierter Stahl;10.398;DD12;warmgewalzt;walzblank;wb
"[""COR-TEN A"",""CORTEN""]";Baustahl;Wetterfester Baustahl mit Rostpatina;18.946;S355J2WP ;warmgewalzt;walzblank;wb
"[""CORTEN"",""WTSt52-3"",""COR-TEN B""]";Baustahl;Wetterfester Baustahl mit Rostpatina;18.965;S355J2W;warmgewalzt;walzblank;wb
"[""SE-Cu57"",""Cu-HCP""]";Kupfer;Kupferblech;2.009;CW021A;gewalzt;walzblank;wb
"[""E-Kupfer"",""E-Cu57"",""Cu-ETP""]";Kupfer;Kupferblech;20.060;CW004A;gewalzt;walzblank;wb
"[""Cu-DHP"",""Desoxidiertes Kupfer"",""SF-Cu""]";Kupfer;Kupferblech;20.090;CW024A;gewalzt;walzblank;wb
"[""Messing"",""Cu Zn37"",""Ms63""]";Messing;Messingblech;20.321;CW508L;gewalzt;Körn. 240 eins. geschl., eins. foliert;K2401sF
"[""Ms63"",""Cu Zn37"",""Messing""]";Messing;Messingblech;20.321;CW508L;gewalzt;walzblank;wb
"[""CuZn39Pb2"",""Messing"",""MS58""]";Messing;Messingblech;20.402;CW612N;gewalzt;walzblank;wb
"[""AISI 304"",""SUS304"",""V2A"",""Edelstahl"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;kaltgewalzt;einseitig gebürstet, einseitig foliert;G1sF
[];Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.404;X2CrNiMo17-12-2;kaltgewalzt;einseitig gebürstet, einseitig foliert;G1sF
"[""V2A"",""Edelstahl"",""AISI 304"",""VA"",""SUS304""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;warmgewalzt;gebeizt;1D
"[""Edelstahl"",""V4A"",""VA"",""AISI 316""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.401;X5CrNiMo17-12-2;warmgewalzt;gebeizt;1D
